type,price,quantity,date,commission,return,cumulative_return
buy,2878.5,1,2019-05-16,0.45,0.0,0.0
sell,2819.5,1,2019-05-23,0.45,0.0,0.0
buy,2831.75,1,2019-05-24,0.45,-0.016241097793989967,-0.016241097793989967
sell,2780.0,1,2019-05-29,0.45,-0.014009576165986859,-0.030023143063412694
buy,2790.5,1,2019-05-30,0.45,-0.014566963891586515,-0.04415276091408249
sell,2752.5,1,2019-05-31,0.45,-0.009892086330935301,-0.05360808432230657
buy,2749.5,1,2019-06-03,0.45,-0.01469270740010753,-0.06751314382518614
sell,2955.75,1,2019-06-20,0.45,0.07384196185286096,0.001343515036768661
buy,2918.0,1,2019-06-26,0.45,0.06128386979450817,0.0627097206318572
sell,2830.0,1,2019-08-05,0.45,-0.042544193521102946,0.017497592620538294
buy,2876.0,1,2019-08-06,0.45,-0.014393420150788261,0.002852322267535401
sell,2880.5,1,2019-08-07,0.45,0.01784452296819783,0.020747743565948884
buy,2940.0,1,2019-08-08,0.45,0.022253129346314404,0.04346257513348051
sell,2880.25,1,2019-08-12,0.45,-8.679048776250031e-05,0.04337201250762268
buy,2840.75,1,2019-08-14,0.45,-0.03375850340136055,0.008149334874499647
sell,3047.75,1,2019-10-30,0.45,0.05815467407343111,0.06677793086147243
buy,3114.25,1,2019-12-02,0.45,0.0962773915339259,0.1694845273907737
sell,3289.75,1,2020-01-13,0.45,0.07940283815929794,0.2623449180489863
buy,3293.5,1,2020-01-24,0.45,0.05755799951834306,0.3350029662340326
sell,3224.0,1,2020-01-31,0.45,-0.019986321149023434,0.3083211682159803
buy,3245.5,1,2020-02-03,0.45,-0.014574161226658555,0.28925348457415034
sell,3132.5,1,2020-02-25,0.45,-0.028380893300248178,0.2526633189914782
buy,3110.25,1,2020-02-26,0.45,-0.041673085811123056,0.20046097300670018
sell,2957.0,1,2020-02-27,0.45,-0.05602553870710292,0.13320450029714692
buy,2951.0,1,2020-02-28,0.45,-0.05120167189132707,0.07518253528715713
sell,3065.0,1,2020-03-02,0.45,0.036523503550896175,0.1144519684325791
buy,2997.0,1,2020-03-03,0.45,0.015587936292782212,0.13182397471787177
sell,3015.5,1,2020-03-05,0.45,-0.016150081566068564,0.11354492520774628
buy,2964.0,1,2020-03-06,0.45,-0.011011011011010985,0.10128366977502834
sell,2747.75,1,2020-03-09,0.45,-0.088791245232963,0.0034993213809764168
buy,2865.75,1,2020-03-10,0.45,-0.033147773279352255,-0.02976444661014399
sell,2740.25,1,2020-03-11,0.45,-0.002729505959421341,-0.03241271033516402
buy,2469.0,1,2020-03-12,0.45,-0.13844543313268776,-0.16637075174649563
sell,2696.0,1,2020-03-13,0.45,-0.016148161664081728,-0.17983233161520018
buy,2416.25,1,2020-03-16,0.45,-0.02136492507087895,-0.19735515239579893
sell,2495.5,1,2020-03-17,0.45,-0.07436943620178038,-0.25704739718238734
buy,2414.0,1,2020-03-18,0.45,-0.0009311950336264863,-0.257739230956351
sell,2403.25,1,2020-03-19,0.45,-0.03696653977158881,-0.2851780431960932
buy,2437.97998046875,1,2020-03-20,0.45,0.009933711876035645,-0.27807720783453915
sell,2220.5,1,2020-03-23,0.45,-0.07604285862894,-0.33297428066018697
buy,2438.0,1,2020-03-24,0.45,8.211524052947894e-06,-0.3329688033624487
sell,2608.0,1,2020-03-26,0.45,0.1745102454402161,-0.21656502552094858
buy,2448.0,1,2020-04-01,0.45,0.00410172272354381,-0.21335159248370894
sell,2644.5,1,2020-04-06,0.45,0.013995398773006151,-0.20234213432636816
buy,2732.0,1,2020-04-21,0.45,0.11601307189542487,-0.10980339500802194
sell,2941.0,1,2020-04-29,0.45,0.11211949328795612,-0.009995002729662583
buy,2821.75,1,2020-05-01,0.45,0.03285139092240108,0.022528038450795984
sell,2994.5,1,2020-05-26,0.45,0.01819109146548792,0.04112893952428043
buy,3010.25,1,2020-06-11,0.45,0.06680251616904398,0.11067897234091073
sell,3034.75,1,2020-06-12,0.45,0.013441309066622109,0.12560795168194305
buy,3073.0,1,2020-06-15,0.45,0.020845444730504203,0.14907175002694495
sell,3049.0,1,2020-06-24,0.45,0.004695609193508421,0.15446734190037237
buy,3070.75,1,2020-06-25,0.45,-0.0007321835340058369,0.15362205992208544
sell,3007.0,1,2020-06-26,0.45,-0.013775008199409688,0.13773090658763887
buy,3047.75,1,2020-06-29,0.45,-0.007490026866400767,0.12920927153056305
sell,3251.25,1,2020-07-21,0.45,0.0812271366810775,0.220931707370716
buy,3204.0,1,2020-07-24,0.45,0.051267328356984665,0.2835256141139444
sell,3379.75,1,2020-08-17,0.45,0.03952326028450592,0.3342547310424002
buy,3461.5,1,2020-09-03,0.45,0.0803682896379525,0.44148650171762416
sell,3335.5,1,2020-09-08,0.45,-0.013092684370145768,0.42261357392680976
buy,3400.25,1,2020-09-09,0.45,-0.01769464105156726,0.39744093738108766
sell,3340.5,1,2020-09-10,0.45,0.0014990256333382579,0.39953573716729807
buy,3333.75,1,2020-09-11,0.45,-0.019557385486361323,0.3721644772535784
sell,3361.5,1,2020-09-17,0.45,0.006286484059272457,0.38079056736653283
buy,3353.60009765625,1,2020-09-18,0.45,0.005954285011248617,0.3890121879454769
sell,3275.0,1,2020-09-21,0.45,-0.025732559869106053,0.35326934866025184
